Be0, Be1, Be2, Be3, Be4, Be5, Be6, Be7, Be8, Be9, Be10, Be11, Be12, Be13, Be14, Be15, Be16, Be17, Be18, Be19, Be20, Be21, Be22, Be23, Be24, Be25, Where 26, Where 27, Where 28, Where 29, Where 30, Where 31, Where 32, Where 33, Where 34, Where 35, Where 36, Where 37, Where 38, Where 39, Where 40, Where 41, Where 42, Where 43, Where 44, Where 49, Where 50, Where 51, Where 52, Where 53, Where 54 Where 55, Where 56, Where 57, Where 58, Where 59, Where 60, Where 61, Where 62, Where 63, Where 64, Where 65, Where 66, Where 67, Where 68, Where 69, Where 70, Where 71, Where 72, Where 73, Where 74, Where 75, Where 76, Where 77, Where 78, Where 79, Where 80, Where 81, Where 82, Where 83, Where 84, Where 85, Where 86, Where 87, Where 88, Where 89, Where 90, Where 91, Where 92
0,0.0,0.11562609,0.042202943,0.1859503,0.18711571,0.17953052,0.17954198,0.065504259,0.082539393,0.17561697,0.06686006,0.072517166,0.15790711,0.1657851,0.13925253,0.17154145,0.16791123,0.15004199,0.1641954,0.16731852,0.14975198,0.15845391,0.14251958,0.16740485,0.26110585,0.2644716,0.28230916,0.24327589,0.24688918,0.25493223,0.28043638,0.25984713,0.25944382,0.23796278,0.25219682,0.26344305,0.22437445,0.23015201,0.22149781,0.22313661,0.22458957,0.21786218,0.22890637,0.22077901,0.26095144,0.25388861,0.25670718,0.2490197,0.26400044,0.25671072,0.26124015,0.26608732,0.25150234,0.26646144,0.27239442,0.2530087,0.24588844,0.25610643,0.24756446,0.26479011,0.25288354,0.2484092,0.24206044,0.24627384,0.2514796,0.25914156,0.24343781,0.23452104,0.19090913,0.24438912,0.22648342,0.25705737,0.23694324,0.21962784,0.2256949,0.24116677,0.25892987,0.24311848,0.2281523,0.23368479,0.23494762,0.245267,0.24719823,0.23252053,0.21881571,0.23696011,0.25873185,0.22716484
1,0.11562609,0.0,0.12056124,0.18981009,0.19431702,0.18738805,0.1919215,0.09942936,0.088303318,0.18791731,0.097672183,0.10235103,0.14404529,0.13828052,0.13534905,0.14029908,0.14356516,0.13557402,0.1457345,0.14545964,0.12194614,0.14205,0.13139677,0.14881159,0.24381779,0.24655609,0.28604051,0.23467172,0.22940474,0.26297925,0.28533426,0.23102663,0.2404437,0.23014183,0.24596103,0.2784421,0.2393966,0.24619352,0.19945297,0.19675661,0.24285541,0.23478238,0.21985453,0.21123099,0.26420271,0.27592002,0.26844152,0.26162798,0.26462468,0.25921917,0.2630381,0.2696678,0.26944453,0.28331286,0.2874377,0.25910621,0.24086818,0.26584264,0.25987255,0.26274365,0.26286539,0.23988864,0.25720797,0.26856218,0.26826103,0.26653188,0.23221398,0.23668653,0.2134532,0.25065132,0.22988022,0.23781274,0.2276334,0.23531048,0.25376886,0.2516033,0.25785334,0.25870587,0.23669594,0.25139038,0.24677404,0.23224536,0.26682507,0.25086339,0.23590803,0.22849335,0.26517569,0.23091778
2,0.042202943,0.12056124,0.0,0.18672022,0.18213187,0.17366524,0.18169339,0.063125655,0.090763876,0.17656369,0.066045776,0.069384306,0.17031523,0.16126395,0.13838278,0.1749576,0.16520281,0.14949056,0.17062104,0.16796975,0.14909911,0.16321929,0.14885216,0.1715355,0.26222373,0.26856842,0.27970526,0.24845856,0.249661,0.2542343,0.27716865,0.260078,0.26039976,0.24230044,0.26348057,0.26371215,0.22729863,0.23149218,0.22501262,0.22407955,0.23410153,0.22322731,0.22891586,0.22376491,0.25469515,0.25454201,0.25382401,0.25113359,0.25770065,0.25627245,0.25936679,0.26278501,0.25200287,0.26387282,0.26160006,0.24820885,0.24820679,0.25837912,0.24987454,0.25991014,0.24413214,0.25402084,0.24388481,0.23924061,0.24553257,0.25771902,0.24377235,0.22584959,0.18752239,0.23941375,0.2308933,0.24285626,0.22795941,0.22052402,0.21406675,0.2267551,0.24558337,0.23178747,0.2134097,0.2211391,0.22236776,0.23400373,0.2375949,0.22230672,0.20949253,0.23373331,0.25021448,0.23529046
3,0.1859503,0.18981009,0.18672022,0.0,0.21141273,0.074611889,0.069573967,0.18231125,0.18242343,0.043113087,0.19043598,0.19138537,0.14546941,0.14031878,0.16188506,0.14001227,0.14170659,0.15804147,0.1396533,0.13534755,0.16703319,0.13958658,0.15988122,0.14367979,0.24003167,0.24420184,0.26262502,0.22735256,0.20872789,0.24747367,0.25867574,0.23556714,0.23775607,0.20210108,0.23558626,0.2609695,0.22207461,0.2214855,0.20966788,0.20185128,0.2127483,0.22072882,0.2005773,0.20438197,0.24269243,0.24991974,0.24843468,0.26824112,0.24144388,0.24048297,0.25718489,0.24564381,0.25345619,0.24836931,0.2573273,0.23713526,0.25849841,0.2600429,0.24476452,0.25181072,0.24048402,0.26742374,0.25413,0.23995729,0.24871363,0.24375317,0.24923101,0.20749038,0.22659917,0.21424461,0.22160652,0.24793805,0.21164516,0.24088594,0.23009035,0.2454312,0.23377762,0.22223298,0.23024859,0.24425128,0.24233074,0.21415518,0.2350094,0.23142441,0.23953711,0.20865137,0.20932709,0.22036232
4,0.18711571,0.19431702,0.18213187,0.21141273,0.0,0.21476063,0.21588805,0.18208105,0.17535932,0.20569375,0.17731529,0.1885359,0.17505583,0.17624765,0.16379865,0.18287173,0.17675317,0.16424871,0.18455162,0.18696453,0.15719376,0.17856058,0.16424541,0.18176916,0.23492813,0.23487717,0.25977698,0.24383639,0.2019614,0.24138454,0.25685204,0.24001278,0.24188916,0.18814742,0.23875729,0.22844976,0.21578369,0.22897071,0.18200646,0.17882489,0.20613526,0.21360224,0.18194684,0.17870691,0.22323853,0.22013222,0.22101447,0.22005848,0.23717734,0.20682069,0.21517317,0.23021303,0.21487476,0.22173633,0.23242293,0.21728648,0.21984079,0.19505315,0.21760323,0.22098355,0.23354219,0.21599799,0.20951553,0.21360351,0.22460893,0.22603491,0.2253227,0.22425612,0.22077702,0.21286702,0.21939227,0.23748273,0.22824144,0.24366965,0.24123635,0.23863621,0.24004053,0.22760933,0.22989652,0.223067,0.2373563,0.23311915,0.23073882,0.23106168,0.23015288,0.232332,0.2624948,0.22641665
5,0.17953052,0.18738805,0.17366524,0.074611889,0.21476063,0.0,0.041092014,0.18185329,0.17332195,0.062903961,0.18555254,0.18380904,0.14501228,0.13673537,0.15308099,0.14200847,0.14811386,0.14833714,0.14573398,0.13861678,0.15799537,0.14275954,0.15288712,0.14913339,0.23897372,0.24098262,0.25727567,0.21723932,0.2003371,0.24129603,0.25224266,0.22460588,0.22507921,0.19512207,0.2288859,0.25620221,0.21058137,0.20488403,0.20028563,0.19392979,0.20801171,0.20386529,0.19114807,0.19456966,0.25343516,0.2693173,0.25956276,0.26812891,0.25432429,0.25185123,0.27026072,0.25951263,0.2639364,0.26874773,0.27001605,0.24908772,0.26388394,0.26970395,0.25959343,0.2636107,0.24624287,0.26364617,0.27031301,0.25513975,0.26256073,0.25987701,0.24881809,0.21565488,0.21302241,0.21347856,0.23448281,0.2395204,0.21630968,0.25736568,0.22598508,0.23399277,0.23673747,0.21920481,0.22611221,0.2237649,0.23731284,0.21438874,0.23364178,0.21254259,0.21744698,0.21353292,0.21951232,0.2337592
6,0.17954198,0.1919215,0.18169339,0.069573967,0.21588805,0.041092014,0.0,0.18296927,0.17721417,0.068342968,0.18646994,0.18967254,0.14832017,0.13631802,0.15688908,0.1472057,0.15092718,0.15100922,0.15028379,0.14014767,0.16364392,0.1444613,0.151338,0.15191982,0.2432681,0.24847247,0.26031069,0.21886043,0.20762987,0.24759481,0.25559361,0.23456984,0.23115064,0.19944148,0.23202801,0.25951045,0.21462488,0.20992217,0.20724949,0.20026908,0.20754265,0.20567206,0.19818359,0.19862725,0.25446573,0.27263846,0.2650179,0.28172561,0.2588626,0.25789821,0.27421504,0.26341876,0.27080043,0.27056079,0.27246976,0.25417101,0.2676118,0.27366667,0.26578002,0.27027645,0.24962943,0.26547967,0.2749226,0.25982555,0.2675705,0.26113641,0.2502755,0.21411053,0.22338452,0.21629589,0.23637005,0.24399773,0.21493006,0.25602599,0.223832,0.23988441,0.23279947,0.22071758,0.22718336,0.22889065,0.24195553,0.21416408,0.23283844,0.21771117,0.21877008,0.21072447,0.22204496,0.2342715
7,0.065504259,0.09942936,0.063125655,0.18231125,0.18208105,0.18185329,0.18296927,0.0,0.091585945,0.18190655,0.054367962,0.060714249,0.14093744,0.14828747,0.1351811,0.15379976,0.14960627,0.13788806,0.15175806,0.14982006,0.13200094,0.15069188,0.1388513,0.14896695,0.25577045,0.26248533,0.2756504,0.24410237,0.2492188,0.25838664,0.27139995,0.25517914,0.25314793,0.23480688,0.25536646,0.24995578,0.23249296,0.24279358,0.2143369,0.21243581,0.23306004,0.22716215,0.22435093,0.21906217,0.25188451,0.25576142,0.24489688,0.24778413,0.25047869,0.24425892,0.25646433,0.26292904,0.26075777,0.25980935,0.2754682,0.24698438,0.24050897,0.25362068,0.23582239,0.2585796,0.24529253,0.24710858,0.24655035,0.24104128,0.24146609,0.24616825,0.23926428,0.22604472,0.19034024,0.23815983,0.22351434,0.24336168,0.22500349,0.22534728,0.22359053,0.23868019,0.25018515,0.23304662,0.22057795,0.22940088,0.22122536,0.22967277,0.24703448,0.23715509,0.22368746,0.22513718,0.24640515,0.22894565
8,0.082539393,0.088303318,0.090763876,0.18242343,0.17535932,0.17332195,0.17721417,0.091585945,0.0,0.17593467,0.09220713,0.09452612,0.14756889,0.14483685,0.13429807,0.14737601,0.15284682,0.13372924,0.15304815,0.15279348,0.13014203,0.14531911,0.13242913,0.14647798,0.24755858,0.25035901,0.28218336,0.24110029,0.23854105,0.25516103,0.28373496,0.24504759,0.24846349,0.22866189,0.25044016,0.26714186,0.22235437,0.23060872,0.2078275,0.20204235,0.2268349,0.22071673,0.21185738,0.20379955,0.26104258,0.25467843,0.25305977,0.2518086,0.26209981,0.24912288,0.25989197,0.26094123,0.25115205,0.26299386,0.27594115,0.2491215,0.23636872,0.2435213,0.24869483,0.26457938,0.25523504,0.2432358,0.24179726,0.24963791,0.25445443,0.25468089,0.23309718,0.23000063,0.20156028,0.25010514,0.2303476,0.24860562,0.2247942,0.23118742,0.23559644,0.25184069,0.2496466,0.24157058,0.23417782,0.23967036,0.24345656,0.23053276,0.2517573,0.23755069,0.23457897,0.22639228,0.26573741,0.22800413
9,0.17561697,0.18791731,0.17656369,0.043113087,0.20569375,0.062903961,0.068342968,0.18190655,0.17593467,0.0,0.18469439,0.18120597,0.13158152,0.13173981,0.15668956,0.13103821,0.13734104,0.15353882,0.13462652,0.12460071,0.15861846,0.1315322,0.15544066,0.13634912,0.23167695,0.23829406,0.26051773,0.22128985,0.19851582,0.24154894,0.2612918,0.23194451,0.23200883,0.18948508,0.23278634,0.25568624,0.21029324,0.2055197,0.19540222,0.18866144,0.20574652,0.21494877,0.18744733,0.19096656,0.25114999,0.26336185,0.25791921,0.26258759,0.25273406,0.24577276,0.26818401,0.25627224,0.259942,0.26445235,0.27084718,0.24567439,0.26595061,0.26139663,0.2564445,0.26241173,0.24590246,0.26877565,0.25861629,0.25043061,0.26100393,0.25088205,0.25178104,0.21575437,0.2109008,0.20021204,0.2174498,0.2397909,0.21468355,0.24057622,0.22048731,0.22506658,0.23383373,0.21707779,0.21245434,0.23768984,0.2322769,0.21847068,0.23081275,0.22179393,0.23019947,0.2135744,0.22208333,0.21807751
