ID,block,trial,query,querydetail,querytype,estimate,starttime,endtime,RT
903,1,1,What is the probability that the weather will be  warm or snowy on a random day in England?, warm or snowy,AorB,90,36185.096269,36198.980122,13.883853
903,1,2,If the weather in England is not rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given not rainy,notAgnotB,80,36199.213123,36207.911226,8.698103
903,1,3,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given cloudy,notAgB,40,36208.179943,36220.103502,11.923558
903,1,4,What is the probability that the weather will be  not rainy on a random day in England?, not rainy,notB,60,36220.296885,36228.199374,7.902490
903,1,5,What is the probability that the weather will be  cold on a random day in England?, cold,A,80,36228.363640,36235.759265,7.395625
903,1,6,If the weather in England is not warm on a random daywhat is the probability that the weather will also be snowy on the same day?, snowy given not warm,BgnotA,30,36235.980488,36271.863000,35.882511
903,1,7,What is the probability that the weather will be  rainy or not cold on a random day in England?, rainy or not cold,notAorB,90,36272.047729,36276.606803,4.559074
903,1,8,If the weather in England is not windy on a random daywhat is the probability that the weather will also be not cloudy on the same day?, not cloudy given not windy,notBgnotA,50,36276.797857,36293.662824,16.864967
903,1,9,What is the probability that the weather will be  cold or not rainy on a random day in England?, cold or not rainy,AornotB,60,36293.881451,36309.414570,15.533118
903,1,10,What is the probability that the weather will be  cold and not rainy on a random day in England?, cold and not rainy,AandnotB,50,36309.631703,36320.614470,10.982766
903,1,11,If the weather in England is rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given rainy,notAgB,50,36320.765207,36326.846461,6.081254
903,1,12,What is the probability that the weather will be  snowy and not warm on a random day in England?, snowy and not warm,notAandB,30,36326.998660,36332.414310,5.415650
903,1,13,If the weather in England is cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given cold,notBgA,60,36332.582117,36339.446268,6.864151
903,1,14,If the weather in England is not cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given not cold,BgnotA,40,36339.615558,36367.742116,28.126558
903,1,15,What is the probability that the weather will be  windy or not cloudy on a random day in England?, windy or not cloudy,AornotB,40,36368.099390,36373.014049,4.914658
903,1,16,If the weather in England is snowy on a random daywhat is the probability that the weather will also be not warm on the same day?, not warm given snowy,notAgB,40,36373.199446,36384.213997,11.014550
903,1,17,What is the probability that the weather will be  windy and cloudy on a random day in England?, windy and cloudy,AandB,40,36384.433002,36387.069759,2.636757
903,1,18,What is the probability that the weather will be  not warm or not snowy on a random day in England?, not warm or not snowy,notAornotB,30,36387.299754,36390.677855,3.378101
903,1,19,If the weather in England is windy on a random daywhat is the probability that the weather will also be cloudy on the same day?, cloudy given windy,BgA,60,36390.866445,36402.821687,11.955242
903,1,20,What is the probability that the weather will be  rainy and not cold on a random day in England?, rainy and not cold,notAandB,60,36403.033308,36416.853669,13.820361
