ID,block,trial,query,querydetail,querytype,estimate,starttime,endtime,RT
305,1,1,If the weather in England is rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given rainy,notAgB,30,166188.569097,166206.080197,17.511099
305,1,2,What is the probability that the weather will be  rainy or not cold on a random day in England?, rainy or not cold,notAorB,40,166206.152645,166227.900436,21.747791
305,1,3,What is the probability that the weather will be  not windy or not cloudy on a random day in England?, not windy or not cloudy,notAornotB,60,166228.019537,166233.198427,5.178889
305,1,4,What is the probability that the weather will be  windy or cloudy on a random day in England?, windy or cloudy,AorB,40,166233.319584,166246.142078,12.822493
305,1,5,What is the probability that the weather will be  not cold or not rainy on a random day in England?, not cold or not rainy,notAornotB,60,166246.269743,166263.365873,17.096130
305,1,6,What is the probability that the weather will be  cold or rainy on a random day in England?, cold or rainy,AorB,60,166263.453270,166275.037763,11.584493
305,1,7,What is the probability that the weather will be  not cold and not rainy on a random day in England?, not cold and not rainy,notAandnotB,40,166275.170076,166299.381375,24.211299
305,1,8,If the weather in England is not rainy on a random daywhat is the probability that the weather will also be cold on the same day?, cold given not rainy,AgnotB,30,166299.503662,166316.157096,16.653434
305,1,9,What is the probability that the weather will be  not rainy on a random day in England?, not rainy,notB,60,166316.237186,166323.373061,7.135875
305,1,10,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given cloudy,notAgB,60,166323.470608,166350.692679,27.222071
305,1,11,If the weather in England is not cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given not cold,notBgnotA,70,166350.804237,166361.133486,10.329249
305,1,12,If the weather in England is not rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given not rainy,notAgnotB,70,166361.271000,166373.852206,12.581207
305,1,13,What is the probability that the weather will be  not warm or not snowy on a random day in England?, not warm or not snowy,notAornotB,90,166373.971154,166385.732145,11.760991
305,1,14,If the weather in England is not warm on a random daywhat is the probability that the weather will also be not snowy on the same day?, not snowy given not warm,notBgnotA,70,166385.837935,166396.268130,10.430195
305,1,15,What is the probability that the weather will be  cloudy or not windy on a random day in England?, cloudy or not windy,notAorB,70,166396.388068,166408.707757,12.319689
305,1,16,What is the probability that the weather will be  cold and rainy on a random day in England?, cold and rainy,AandB,60,166408.854847,166432.067408,23.212561
305,1,17,What is the probability that the weather will be  not cold on a random day in England?, not cold,notA,50,166432.171792,166437.506725,5.334933
305,1,18,What is the probability that the weather will be  warm on a random day in England?, warm,A,40,166437.621904,166452.411508,14.789604
305,1,19,If the weather in England is not warm on a random daywhat is the probability that the weather will also be snowy on the same day?, snowy given not warm,BgnotA,30,166452.522008,166460.962956,8.440949
305,1,20,What is the probability that the weather will be  snowy or not warm on a random day in England?, snowy or not warm,notAorB,20,166461.072097,166480.474873,19.402776
305,1,21,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given not cloudy,AgnotB,60,166480.605668,166489.042407,8.436739
305,1,22,If the weather in England is not snowy on a random daywhat is the probability that the weather will also be not warm on the same day?, not warm given not snowy,notAgnotB,40,166489.205759,166503.106390,13.900631
305,1,23,If the weather in England is windy on a random daywhat is the probability that the weather will also be not cloudy on the same day?, not cloudy given windy,notBgA,40,166503.222564,166504.180479,0.957915
305,1,24,What is the probability that the weather will be  cold on a random day in England?, cold,A,65,166504.322583,166509.490319,5.167736
305,1,25,What is the probability that the weather will be  not cloudy on a random day in England?, not cloudy,notB,30,166509.589316,166516.162153,6.572837
305,1,26,What is the probability that the weather will be  rainy and not cold on a random day in England?, rainy and not cold,notAandB,20,166516.306035,166524.513859,8.207824
305,1,27,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given not cloudy,notAgnotB,70,166524.689453,166559.449288,34.759835
305,1,28,What is the probability that the weather will be  windy and cloudy on a random day in England?, windy and cloudy,AandB,70,166559.606511,166568.721369,9.114858
305,1,29,What is the probability that the weather will be  cold and not rainy on a random day in England?, cold and not rainy,AandnotB,60,166568.873313,166571.873060,2.999747
305,1,30,What is the probability that the weather will be  not warm and not snowy on a random day in England?, not warm and not snowy,notAandnotB,75,166572.006659,166579.441037,7.434378
305,1,31,What is the probability that the weather will be  windy or not cloudy on a random day in England?, windy or not cloudy,AornotB,60,166579.540070,166592.264803,12.724734
305,1,32,What is the probability that the weather will be  warm and snowy on a random day in England?, warm and snowy,AandB,0,166592.390229,166599.781712,7.391483
305,1,33,What is the probability that the weather will be  snowy on a random day in England?, snowy,B,5,166599.906978,166607.984875,8.077897
305,1,34,What is the probability that the weather will be  rainy on a random day in England?, rainy,B,70,166608.140400,166612.752563,4.612163
305,1,35,What is the probability that the weather will be  warm and not snowy on a random day in England?, warm and not snowy,AandnotB,65,166612.857107,166622.816370,9.959262
305,1,36,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given cloudy,AgB,70,166622.940556,166630.344179,7.403623
305,1,37,If the weather in England is windy on a random daywhat is the probability that the weather will also be cloudy on the same day?, cloudy given windy,BgA,70,166630.457314,166637.911965,7.454650
305,1,38,If the weather in England is snowy on a random daywhat is the probability that the weather will also be warm on the same day?, warm given snowy,AgB,0,166638.074070,166655.455909,17.381840
305,1,39,If the weather in England is not snowy on a random daywhat is the probability that the weather will also be warm on the same day?, warm given not snowy,AgnotB,80,166655.590833,166664.055713,8.464881
305,1,40,If the weather in England is cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given cold,notBgA,50,166664.191061,166670.930359,6.739298
305,1,41,If the weather in England is not cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given not cold,BgnotA,50,166671.057231,166676.751515,5.694284
305,1,42,What is the probability that the weather will be  windy on a random day in England?, windy,A,60,166676.891161,166692.082295,15.191134
305,1,43,What is the probability that the weather will be  not windy on a random day in England?, not windy,notA,40,166692.224617,166694.952019,2.727403
305,1,44,If the weather in England is snowy on a random daywhat is the probability that the weather will also be not warm on the same day?, not warm given snowy,notAgB,80,166695.091338,166709.263053,14.171716
305,1,45,What is the probability that the weather will be  cloudy on a random day in England?, cloudy,B,70,166709.391518,166728.006731,18.615213
305,1,46,If the weather in England is warm on a random daywhat is the probability that the weather will also be snowy on the same day?, snowy given warm,BgA,80,166728.108390,166729.166765,1.058375
305,1,47,If the weather in England is warm on a random daywhat is the probability that the weather will also be not snowy on the same day?, not snowy given warm,notBgA,80,166729.275068,166735.854646,6.579578
305,1,48,What is the probability that the weather will be  not snowy on a random day in England?, not snowy,notB,90,166735.975143,166742.902508,6.927365
305,1,49,If the weather in England is cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given cold,BgA,80,166743.058528,166747.550522,4.491994
305,1,50,What is the probability that the weather will be  not windy and not cloudy on a random day in England?, not windy and not cloudy,notAandnotB,60,166747.708615,166808.117879,60.409264
305,1,51,What is the probability that the weather will be  cloudy and not windy on a random day in England?, cloudy and not windy,notAandB,60,166808.209246,166815.645302,7.436056
305,1,52,What is the probability that the weather will be  snowy and not warm on a random day in England?, snowy and not warm,notAandB,90,166815.758818,166820.269191,4.510373
305,1,53,What is the probability that the weather will be  not warm on a random day in England?, not warm,notA,40,166820.409405,166861.588661,41.179256
305,1,54,What is the probability that the weather will be  warm or not snowy on a random day in England?, warm or not snowy,AornotB,50,166861.743189,166877.446729,15.703540
305,1,55,What is the probability that the weather will be  cold or not rainy on a random day in England?, cold or not rainy,AornotB,60,166877.576696,166880.732250,3.155555
305,1,56,What is the probability that the weather will be  warm or snowy on a random day in England?, warm or snowy,AorB,20,166880.860054,166883.910925,3.050871
